Age,Gender,Marital_Status,Education,Employment_Type,Years_Employed,Applicant_Income,CoApplicant_Income,CIBIL_Score,Existing_Debt,Property_Value,Loan_Amount,Loan_Term,Loan_Status
59,Female,Single,HighSchool,SelfEmployed,7,125268,76820,421,1570006,7704212,2372355,180,0
42,Male,Married,Postgraduate,Business,1,20311,83104,759,1396025,6164789,1089436,240,0
45,Male,Single,HighSchool,SelfEmployed,9,164503,2747,489,3275709,584654,1053277,180,0
23,Male,Single,HighSchool,Salaried,8,102313,10627,615,3385357,1965689,168148,120,0
40,Female,Single,HighSchool,Salaried,7,125510,80077,380,4155299,6749859,905889,120,0
24,Female,Single,HighSchool,Business,25,52065,92093,569,3047262,1064685,2979190,240,0
41,Female,Single,Postgraduate,SelfEmployed,20,101807,12185,516,2613740,1785160,1710908,360,0
21,Male,Single,Graduate,Salaried,11,148767,48190,438,1737095,5280450,2209818,360,0
59,Female,Single,HighSchool,Salaried,7,128569,52256,347,1870230,4247389,589570,240,0
42,Male,Single,Graduate,SelfEmployed,4,154182,79309,304,3136729,7414550,2072990,180,0
29,Male,Single,Postgraduate,Business,27,196708,50015,540,3331068,3756415,974371,360,0
43,Male,Single,HighSchool,SelfEmployed,28,179899,55820,459,2959034,5074293,2612667,120,0
26,Female,Married,Postgraduate,Business,10,33047,26105,647,3560920,7360006,2584413,60,0
21,Male,Single,Postgraduate,Salaried,19,142948,55016,558,4693350,3048421,121959,180,0
29,Female,Single,Graduate,SelfEmployed,9,142659,66199,673,61087,6909907,1596176,60,1
32,Female,Single,Postgraduate,SelfEmployed,16,82172,85616,380,4965050,1313168,325281,120,0
48,Female,Single,Graduate,Salaried,0,192789,87092,715,3864822,1619043,2306903,180,0
37,Male,Married,Graduate,Business,5,104045,34698,810,1915631,6814127,1566976,60,0
26,Female,Single,HighSchool,SelfEmployed,3,139249,34754,810,4336787,3255423,2133350,240,0
53,Female,Married,HighSchool,Business,7,52504,1802,772,374705,2526793,654594,240,0
36,Female,Married,Graduate,Salaried,1,177688,20932,336,1241082,5684502,798376,60,0
55,Male,Married,HighSchool,Business,23,74040,12183,886,378480,6824167,891971,240,0
55,Female,Married,Graduate,SelfEmployed,24,193047,21357,637,2100021,7428040,718467,60,0
24,Male,Married,Graduate,SelfEmployed,2,101416,70271,332,4301754,2769042,2635893,360,0
28,Male,Single,Postgraduate,Salaried,29,112888,39790,780,4924207,7765795,2827423,60,0
48,Female,Single,Postgraduate,Salaried,5,193274,32635,336,2509079,9019981,215294,180,0
53,Female,Single,Graduate,Salaried,22,196408,85314,427,689944,1188105,2710910,120,0
23,Female,Married,Postgraduate,SelfEmployed,21,33070,35777,454,1583593,4853127,1541578,360,0
46,Male,Married,Graduate,Salaried,27,125627,70316,319,2699015,9337590,1272622,240,0
54,Female,Married,HighSchool,SelfEmployed,21,133834,93848,874,4479125,4749913,327897,60,1
26,Male,Married,HighSchool,Salaried,0,165580,3051,304,1004646,9860133,289407,240,0
50,Male,Single,HighSchool,Salaried,17,32019,83613,419,1423286,4195961,283062,60,0
32,Male,Single,Postgraduate,Business,0,145798,46175,417,176615,4881932,2835988,60,0
36,Male,Single,HighSchool,Salaried,21,82215,69042,385,3099320,9244220,109435,360,0
50,Female,Married,Graduate,Business,25,181319,94758,588,1107677,6238852,388790,120,0
30,Female,Single,Postgraduate,SelfEmployed,9,38289,9823,624,1589228,1600567,2385903,120,0
48,Female,Married,HighSchool,Business,2,181267,91680,726,251492,4535851,1648098,60,1
53,Female,Married,HighSchool,Salaried,12,53494,3373,552,2976242,5080081,1773250,60,0
46,Female,Single,Postgraduate,Business,25,80953,57458,495,2922097,657164,635626,360,0
56,Male,Single,Graduate,Salaried,3,59425,38756,756,691095,9722335,1262928,180,0
56,Female,Single,HighSchool,SelfEmployed,29,178551,61476,668,675510,4241196,2895798,60,1
55,Male,Married,Graduate,Salaried,29,187627,46959,641,3264908,4760538,1712818,60,0
56,Female,Single,Graduate,SelfEmployed,11,181342,59163,683,425523,4099865,105486,360,1
25,Male,Married,Graduate,SelfEmployed,20,133324,60566,443,2386488,1287494,1756940,360,0
59,Female,Single,Postgraduate,Salaried,2,53102,74460,534,3235658,2776360,313945,240,0
37,Male,Married,HighSchool,Business,12,196415,39081,692,4999801,9405921,1363108,360,0
57,Female,Single,Graduate,Salaried,21,186334,37080,600,2615075,5909861,844699,180,0
59,Male,Married,Postgraduate,SelfEmployed,6,30485,44482,472,3887857,5484445,2845401,240,0
48,Female,Single,HighSchool,Salaried,6,67224,39298,647,4949499,2887312,1968599,60,0
58,Male,Married,Postgraduate,Salaried,12,49620,20559,512,3338442,5426203,2481028,240,0
55,Male,Married,Graduate,Business,14,32640,52528,825,2598260,7425877,1517077,180,0
36,Male,Single,HighSchool,Business,15,36447,90469,707,4260507,660775,2767867,240,0
46,Female,Married,Postgraduate,Salaried,8,19835,20159,801,4578238,4537776,2104168,60,0
40,Male,Married,Graduate,Salaried,13,137402,45445,893,2677618,1075278,1093176,120,0
30,Female,Married,Postgraduate,SelfEmployed,12,183964,1015,673,27712,4412942,212816,180,1
41,Female,Single,Graduate,Business,26,87474,86704,760,4345760,7653768,370846,60,1
41,Female,Single,Postgraduate,Salaried,4,113142,9860,736,163273,5887408,1598189,60,1
21,Male,Single,Graduate,Business,0,52744,45543,333,3181915,1686887,2998073,120,0
54,Female,Married,HighSchool,SelfEmployed,17,52131,42944,353,1679748,7602173,798168,60,0
43,Male,Single,Graduate,Business,1,68682,59494,721,327359,817537,2859453,180,0
54,Female,Single,Postgraduate,Salaried,23,57318,70173,405,4447794,1796516,2562492,240,0
30,Female,Single,Postgraduate,Salaried,27,70123,92705,352,2691276,9517469,2626954,180,0
31,Male,Single,Graduate,SelfEmployed,22,152162,11637,819,1631107,9917063,1012259,60,1
23,Female,Single,HighSchool,Salaried,17,43732,11314,702,4150276,6223601,1259771,120,0
42,Male,Married,Graduate,Salaried,8,162979,18777,345,4246049,8980473,1361466,60,0
46,Male,Single,Graduate,Business,14,165334,52796,636,4782883,7001632,2387623,60,0
55,Male,Married,HighSchool,SelfEmployed,23,126317,8717,773,815131,7913718,167661,120,1
46,Female,Single,HighSchool,SelfEmployed,2,33030,82838,662,3708654,7815436,218033,120,0
58,Male,Single,HighSchool,Salaried,22,126076,10267,338,3720464,2692614,1548021,120,0
45,Male,Single,Graduate,Business,2,97152,26734,527,2123221,4380993,637198,60,0
39,Female,Single,Graduate,Business,19,63447,34529,742,2697143,9751130,903692,360,0
53,Male,Married,Graduate,Business,5,87303,27139,649,4381514,8875741,962557,60,0
23,Male,Single,Graduate,SelfEmployed,5,137177,41427,374,1171459,6486126,2959653,60,0
50,Female,Married,HighSchool,Business,24,68441,846,691,244761,8886180,2334693,120,0
24,Male,Married,Graduate,Salaried,11,142534,67584,389,864909,6309701,888260,180,0
56,Male,Single,HighSchool,Salaried,5,80545,82180,471,2399105,9267500,105287,120,0
40,Male,Single,Graduate,Salaried,16,108070,79767,849,4802116,1286667,1453649,360,0
31,Male,Married,HighSchool,SelfEmployed,0,151487,36159,871,137023,1635964,632295,180,1
57,Female,Married,Postgraduate,SelfEmployed,20,30524,19282,678,4063309,7441245,1955619,60,0
45,Female,Married,HighSchool,Business,18,88340,72101,322,3295374,7990200,789376,120,0
34,Male,Married,HighSchool,SelfEmployed,18,56157,54917,878,3242374,845266,1638601,240,0
35,Male,Single,Graduate,Business,6,146994,98723,456,1932728,5775034,2461632,240,0
42,Female,Married,Graduate,SelfEmployed,9,189944,46197,458,3217635,2305468,2261924,360,0
24,Female,Single,Postgraduate,SelfEmployed,18,185738,75683,591,2692755,8704298,488349,120,0
58,Female,Married,HighSchool,SelfEmployed,25,91077,90474,695,1255564,9014493,996209,60,1
53,Male,Married,HighSchool,Salaried,23,68028,126,405,500315,5852825,2514472,180,0
49,Female,Married,Graduate,Business,10,159790,34560,704,4327021,7171318,594592,180,0
35,Male,Single,Graduate,Salaried,8,72545,39224,416,884377,6804680,140738,240,0
45,Female,Single,Postgraduate,Business,6,141161,8666,717,2087258,5356447,2763354,240,0
44,Male,Single,Postgraduate,Salaried,23,61240,37148,362,1045482,6286265,1814331,120,0
41,Male,Single,Graduate,Salaried,16,67853,24917,775,3352252,4232839,1138896,60,0
52,Male,Married,HighSchool,SelfEmployed,26,179791,58066,617,264223,6484684,1763261,180,1
38,Male,Married,HighSchool,SelfEmployed,17,174937,6645,412,1599601,4443645,400709,180,0
24,Male,Married,Graduate,SelfEmployed,6,63770,78623,757,4063186,8870262,1885910,240,0
52,Female,Single,Graduate,Salaried,24,45678,76218,627,2546741,3685714,1828096,240,0
28,Female,Single,Postgraduate,Business,10,27175,54771,464,1962165,8485620,711213,120,0
27,Female,Single,Graduate,SelfEmployed,20,199466,20079,680,4339235,4026737,501921,60,0
25,Female,Single,Postgraduate,SelfEmployed,1,109914,76918,695,2475539,6693956,1096261,60,0
54,Male,Married,HighSchool,Business,21,163843,29975,892,4737655,4761946,190093,60,1
37,Female,Single,Postgraduate,Salaried,24,75774,23752,577,4062442,616739,1990969,120,0
49,Male,Married,HighSchool,Salaried,10,71133,97425,427,2420564,9077064,2753093,120,0
37,Male,Single,Postgraduate,Business,11,16622,48756,641,716756,8939834,2696664,180,0
54,Female,Single,Graduate,Salaried,6,157736,35737,775,691757,890719,1627937,240,1
21,Male,Single,HighSchool,Business,28,72492,53002,595,876031,6732739,1370896,180,0
59,Female,Single,Postgraduate,Business,22,169222,68247,705,645188,915008,1731993,240,1
40,Male,Single,HighSchool,Salaried,29,170130,45420,781,1226952,6431161,2696289,360,1
29,Male,Married,Graduate,Salaried,24,146132,74666,341,2994200,1824070,2749585,360,0
50,Female,Married,HighSchool,Salaried,11,84626,6960,316,4374857,3477590,2516430,240,0
36,Female,Single,HighSchool,Salaried,16,147822,54756,673,2202575,7111653,564071,60,0
38,Male,Married,HighSchool,SelfEmployed,25,105600,27935,315,3813270,5306425,2515572,120,0
27,Female,Single,Graduate,SelfEmployed,8,157194,80559,797,3896022,7191409,938003,180,1
38,Male,Married,HighSchool,Salaried,13,89910,52375,487,2547500,9888162,234055,120,0
43,Female,Single,HighSchool,Salaried,3,69620,15317,696,3828433,3235264,1111727,360,0
22,Male,Single,Postgraduate,Business,29,44430,75532,440,4945169,7233215,640659,360,0
49,Female,Single,Graduate,SelfEmployed,24,117665,50072,658,4444499,8244064,2229885,60,0
23,Male,Married,Postgraduate,Business,3,178985,40600,731,1270464,1285332,1894029,60,0
35,Male,Single,HighSchool,Business,4,139988,45028,679,910775,6454878,1801165,180,0
33,Female,Single,HighSchool,SelfEmployed,7,184269,41844,542,4165100,1363561,402186,120,0
46,Male,Single,Postgraduate,SelfEmployed,23,133533,81412,353,1514542,6857718,176898,240,0
55,Female,Married,Postgraduate,Salaried,23,170650,28831,419,4909384,2175843,134701,360,0
54,Male,Single,HighSchool,SelfEmployed,27,80160,17602,631,1142953,4461352,426916,180,0
54,Female,Married,HighSchool,Business,7,167826,3972,475,4157893,5587268,2061275,360,0
48,Male,Single,Graduate,Business,7,155588,2396,414,1985209,4822626,756951,120,0
47,Male,Single,Graduate,Business,23,22314,19623,391,4176224,5184346,558298,60,0
33,Male,Single,Graduate,Salaried,9,101206,69274,721,1726470,8937482,1722572,120,0
51,Male,Married,Postgraduate,SelfEmployed,20,182581,42534,381,442061,4261675,2361286,120,0
52,Male,Married,HighSchool,Salaried,8,180904,31966,747,3963735,6993509,700530,120,0
52,Female,Single,HighSchool,Business,4,151156,82197,495,1656671,6181635,2050961,240,0
47,Female,Single,Postgraduate,Salaried,9,24077,20953,419,3522554,4159985,2002897,360,0
32,Female,Single,HighSchool,Salaried,11,72372,44064,378,1830815,4263122,2486378,120,0
43,Female,Married,Postgraduate,Business,28,138395,14288,398,924044,8406166,1486652,180,0
52,Female,Single,Postgraduate,Business,10,37042,52930,681,2865899,724695,1201844,360,0
40,Female,Single,Graduate,Salaried,2,20626,7424,869,919484,5397954,1386936,240,0
38,Male,Married,HighSchool,Business,24,151848,36444,608,2442266,4937677,447697,240,0
27,Male,Single,Graduate,Business,2,161323,526,452,518349,3381990,897968,240,0
40,Female,Single,Postgraduate,Salaried,27,144749,5109,800,1804673,3438199,2803943,180,0
33,Male,Married,Graduate,Business,29,176087,29009,665,388590,3651882,2874316,60,1
53,Female,Married,Graduate,SelfEmployed,21,84298,46167,852,1436536,3042637,1769211,240,0
53,Female,Married,Postgraduate,Salaried,1,21368,27424,888,1947763,8154502,778758,120,0
